                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.6327,                 3.4604,                 1.7802,                 1.5216,                0.47873,                0.60621,                0.51619,                0.28122,                0.41445,                   0.32,                0.22749,                0.08691,                 1.6127,                 3.0364,                 2.4519,                 1.5396,             0.00091263,             0.00091263,             0.00091263
                     76,                 1.5243,                 3.2696,                  1.787,                 1.4527,                0.69143,                0.49309,                  0.593,                0.32338,                0.44883,                   0.32,                0.26256,                0.08817,                 1.6192,                 3.0403,                 2.2109,                 1.5269,             0.00090556,             0.00090556,             0.00090556
                     77,                  1.531,                  2.917,                 1.7194,                 1.5071,                0.69143,                0.49309,                  0.593,                0.32338,                0.44883,                   0.32,                0.26256,                0.08817,                 1.6192,                 3.0403,                 2.2109,                 1.5269,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.7004,                 3.1652,                 1.8422,                 1.6121,                0.58503,                   0.58,                0.57643,                0.31108,                0.27701,                   0.36,                0.25613,                0.10057,                 1.7102,                 3.1934,                 2.2054,                 1.5563,             0.00089141,             0.00089141,             0.00089141
                     79,                 1.6035,                 3.3073,                 1.8628,                 1.5244,                0.58162,                    0.6,                0.55853,                 0.3028,                0.42992,                    0.4,                0.31045,                0.11282,                 1.6808,                 3.1205,                 2.1579,                 1.5295,             0.00088434,             0.00088434,             0.00088434
                     80,                 1.5933,                 2.9148,                 1.7451,                   1.49,                0.62485,                0.56641,                0.60997,                0.32534,                0.53343,                   0.48,                0.41533,                0.15761,                 1.6044,                  2.895,                 2.1292,                 1.4516,             0.00087726,             0.00087726,             0.00087726
                     81,                 1.5095,                 2.8405,                 1.8989,                 1.4085,                0.62485,                0.56641,                0.60997,                0.32534,                0.53343,                   0.48,                0.41533,                0.15761,                 1.6044,                  2.895,                 2.1292,                 1.4516,             0.00087019,             0.00087019,             0.00087019
                     82,                 1.4815,                 3.0951,                 1.5444,                 1.3621,                0.67872,                   0.56,                0.59084,                0.31028,                0.55752,                   0.46,                0.38829,                0.16227,                 1.5832,                 2.8856,                 2.1671,                 1.4396,             0.00086312,             0.00086312,             0.00086312
                     83,                 1.5379,                 2.8745,                 1.7772,                 1.3962,                0.64905,                   0.56,                0.58891,                0.30282,                0.50381,                   0.44,                 0.3778,                0.15182,                 1.5702,                 2.9953,                 2.2388,                 1.4567,             0.00085604,             0.00085604,             0.00085604
                     84,                 1.4984,                 3.2657,                 1.7785,                 1.4125,                0.75504,                 0.4933,                0.60511,                0.29625,                0.41693,                   0.32,                0.27313,                0.12124,                 1.5729,                 2.9079,                 2.2203,                 1.4775,             0.00084897,             0.00084897,             0.00084897
                     85,                 1.5405,                 2.8721,                 1.6156,                 1.3753,                0.75504,                 0.4933,                0.60511,                0.29625,                0.41693,                   0.32,                0.27313,                0.12124,                 1.5729,                 2.9079,                 2.2203,                 1.4775,              0.0008419,              0.0008419,              0.0008419
                     86,                 1.5231,                  2.919,                  1.852,                  1.435,                0.77922,                0.49425,                0.61372,                0.30511,                0.46941,                    0.3,                0.27356,                 0.1246,                 1.5866,                 2.8599,                 2.2173,                 1.4778,             0.00083482,             0.00083482,             0.00083482
                     87,                 1.5111,                 3.2268,                 1.7549,                 1.4126,                0.76142,                   0.54,                0.70351,                0.34032,                0.54548,                   0.32,                0.31893,                0.13954,                 1.5513,                 2.7663,                 2.1111,                 1.4201,             0.00082775,             0.00082775,             0.00082775
                     88,                 1.5361,                 2.7404,                 1.7174,                 1.4675,                0.61259,                   0.76,                0.73012,                0.39636,                0.34601,                    0.5,                0.34353,                0.16494,                 1.4489,                 2.6159,                  1.952,                 1.3407,             0.00082067,             0.00082067,             0.00082067
                     89,                 1.4583,                 3.0425,                 1.6357,                 1.3961,                0.61259,                   0.76,                0.73012,                0.39636,                0.34601,                    0.5,                0.34353,                0.16494,                 1.4489,                 2.6159,                  1.952,                 1.3407,              0.0008136,              0.0008136,              0.0008136
                     90,                 1.5008,                 2.9171,                 1.6309,                 1.4146,                0.74814,                   0.78,                0.77053,                0.40152,                0.49679,                0.49371,                0.43348,                0.17872,                 1.4639,                  2.601,                 1.9536,                 1.3644,             0.00080653,             0.00080653,             0.00080653
                     91,                 1.5828,                 2.7981,                 1.7118,                 1.4879,                0.72032,                    0.7,                0.73179,                0.38245,                0.60393,                   0.42,                0.41353,                0.19546,                 1.5289,                  2.782,                 2.1092,                  1.415,             0.00079945,             0.00079945,             0.00079945
                     92,                 1.5889,                  3.097,                 1.6181,                 1.4109,                0.73031,                    0.7,                0.76991,                0.43763,                0.71296,                0.49684,                0.47399,                0.20593,                  1.513,                 2.6818,                 2.1204,                 1.4062,             0.00079238,             0.00079238,             0.00079238
                     93,                   1.58,                  3.286,                 1.7375,                  1.499,                0.73031,                    0.7,                0.76991,                0.43763,                0.71296,                0.49684,                0.47399,                0.20593,                  1.513,                 2.6818,                 2.1204,                 1.4062,             0.00078531,             0.00078531,             0.00078531
                     94,                 1.5406,                 2.8055,                 1.5336,                  1.447,                0.77169,                    0.7,                0.81326,                 0.4727,                0.68086,                0.59741,                0.56856,                0.19265,                 1.4326,                 2.5295,                 1.9646,                 1.3787,             0.00077823,             0.00077823,             0.00077823
                     95,                 1.6413,                 2.9689,                 1.8198,                 1.5514,                0.68613,                 0.7433,                0.79551,                0.45259,                0.59381,                 0.6433,                0.57587,                0.19562,                 1.4068,                 2.4692,                  1.917,                 1.3656,             0.00077116,             0.00077116,             0.00077116
                     96,                 1.5254,                 3.1568,                 1.6532,                 1.5455,                0.71361,                   0.78,                0.80479,                0.43803,                0.61819,                0.68003,                0.56215,                0.20543,                 1.4178,                 2.3056,                 1.9009,                 1.3934,             0.00076409,             0.00076409,             0.00076409
                     97,                  1.619,                  3.226,                 1.5534,                 1.5671,                0.71361,                   0.78,                0.80479,                0.43803,                0.61819,                0.68003,                0.56215,                0.20543,                 1.4178,                 2.3056,                 1.9009,                 1.3934,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.5603,                 2.9858,                 1.7162,                  1.507,                0.77823,                    0.7,                0.77671,                0.43206,                 0.6964,                   0.62,                0.62681,                0.20456,                 1.4519,                 2.3045,                 1.8706,                 1.4244,             0.00074994,             0.00074994,             0.00074994
                     99,                 1.5097,                 2.9416,                 1.6936,                 1.3942,                0.85178,                   0.68,                0.83897,                0.46445,                0.85606,                0.59485,                0.62082,                0.20406,                 1.4705,                 2.3658,                 1.8201,                 1.4027,             0.00074287,             0.00074287,             0.00074287
                    100,                 1.4395,                 3.1059,                 1.6452,                 1.4418,                0.78395,                 0.7258,                0.83882,                0.49035,                 0.7086,                   0.56,                0.60789,                0.21421,                 1.4669,                 2.3638,                 1.7392,                 1.3834,             0.00073579,             0.00073579,             0.00073579
                    101,                  1.371,                 2.9566,                  1.535,                 1.2773,                0.78395,                 0.7258,                0.83882,                0.49035,                 0.7086,                   0.56,                0.60789,                0.21421,                 1.4669,                 2.3638,                 1.7392,                 1.3834,             0.00072872,             0.00072872,             0.00072872
