                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 2.6208,                 3.1621,                 2.6608,                0.76606,                0.11161,                0.09058,                0.02943,                 2.5198,                 4.1398,                 2.8218,             0.00089848,             0.00089848,             0.00089848
                     78,                 1.8663,                 3.5684,                 2.0791,                0.49416,                0.25238,                0.13558,                0.04474,                 2.3513,                  3.832,                 2.7179,             0.00089141,             0.00089141,             0.00089141
                     79,                 3.0132,                 3.2835,                 3.0138,                0.46479,                0.40238,                0.14708,                0.04498,                 2.3765,                 4.4843,                 2.6699,             0.00088434,             0.00088434,             0.00088434
                     80,                 2.5865,                 3.4484,                 2.9954,                0.43277,                 0.3119,                0.15035,                0.04426,                 2.4319,                 4.7375,                  2.687,             0.00087726,             0.00087726,             0.00087726
                     81,                 2.6838,                 3.4585,                 2.9229,                0.44874,                0.25931,                0.11919,                0.03892,                 2.4656,                 4.9627,                 2.7144,             0.00087019,             0.00087019,             0.00087019
                     82,                 2.7174,                 3.3175,                 3.1245,                0.47966,                0.26905,                0.12083,                0.04039,                 2.4163,                 4.6962,                 2.6915,             0.00086312,             0.00086312,             0.00086312
                     83,                 2.4575,                 3.2886,                 2.8261,                0.52417,                0.12857,                0.15557,                0.05554,                  2.413,                 4.6047,                  2.661,             0.00085604,             0.00085604,             0.00085604
                     84,                 2.6762,                 3.5041,                  3.033,                0.52047,                0.24524,                0.15477,                0.06424,                 2.4907,                 4.6145,                 2.6963,             0.00084897,             0.00084897,             0.00084897
                     85,                 2.6234,                 3.1672,                 2.8772,                0.73019,                0.06667,                0.17626,                0.07504,                  2.478,                 4.4717,                 2.7057,              0.0008419,              0.0008419,              0.0008419
                     86,                 2.7455,                 3.2226,                 2.9266,                0.72541,                0.10708,                 0.1585,                0.06623,                 2.4217,                 4.1269,                 2.6891,             0.00083482,             0.00083482,             0.00083482
                     87,                 2.6742,                 3.4796,                 3.0374,                0.77325,                0.06667,                0.11223,                0.04428,                 2.3979,                 3.7071,                 2.6885,             0.00082775,             0.00082775,             0.00082775
                     88,                 2.6734,                 3.2249,                  2.807,                0.71916,                0.11667,                0.11854,                0.04643,                 2.3199,                 3.3985,                 2.6435,             0.00082067,             0.00082067,             0.00082067
                     89,                 2.4709,                 3.4152,                 2.8925,                0.54435,                0.29524,                0.15186,                0.05074,                  2.239,                 3.2888,                 2.6159,              0.0008136,              0.0008136,              0.0008136
                     90,                 2.7187,                 3.3141,                 2.8016,                0.57585,                  0.292,                0.16884,                0.05301,                 2.2373,                 3.2955,                 2.6291,             0.00080653,             0.00080653,             0.00080653
                     91,                 2.5792,                 3.1974,                 2.9154,                0.56206,                0.29524,                0.17936,                0.05912,                 2.2941,                 3.1654,                   2.63,             0.00079945,             0.00079945,             0.00079945
                     92,                 2.4008,                 3.2316,                 2.7625,                0.61377,                0.23095,                0.19515,                0.06487,                 2.3532,                 3.0674,                 2.6429,             0.00079238,             0.00079238,             0.00079238
                     93,                 2.3954,                 3.2127,                 2.5776,                0.56148,                0.22857,                0.19006,                0.06548,                  2.487,                 3.2057,                 2.7115,             0.00078531,             0.00078531,             0.00078531
                     94,                 2.4095,                 3.0024,                 2.6965,                0.57383,                0.21005,                0.18624,                0.06471,                  2.514,                 3.3157,                 2.7696,             0.00077823,             0.00077823,             0.00077823
                     95,                 2.4636,                 3.3496,                 2.6666,                0.55317,                 0.2381,                0.19421,                0.06649,                 2.4051,                 3.2861,                 2.7162,             0.00077116,             0.00077116,             0.00077116
                     96,                 2.8236,                 3.0515,                 2.8362,                0.56438,                0.32857,                0.24332,                0.08233,                 2.3126,                 3.2155,                 2.6632,             0.00076409,             0.00076409,             0.00076409
                     97,                 2.5402,                 3.1504,                 3.2015,                0.59563,                 0.3119,                0.24867,                0.06683,                 2.3258,                 3.1891,                 2.6753,             0.00075701,             0.00075701,             0.00075701
                     98,                 1.8658,                 3.6012,                 2.1973,                0.57857,                0.25952,                0.22612,                0.06199,                 2.4326,                 3.2314,                 2.7476,             0.00074994,             0.00074994,             0.00074994
                     99,                 2.7338,                 3.4607,                 2.9898,                0.58986,                0.18488,                0.20501,                0.06596,                 2.6303,                 3.3714,                 2.8888,             0.00074287,             0.00074287,             0.00074287
                    100,                  2.436,                 3.1874,                 2.7661,                0.62319,                0.20952,                0.20897,                0.06916,                 2.6743,                 3.3494,                 2.9057,             0.00073579,             0.00073579,             0.00073579
                    101,                 2.5036,                 3.1395,                 2.8198,                0.54375,                0.16975,                0.20084,                0.06934,                 2.5781,                 3.1679,                 2.8341,             0.00072872,             0.00072872,             0.00072872
                    102,                 2.4147,                  3.317,                 2.7744,                 0.5411,                0.25476,                0.25633,                 0.0792,                 2.3724,                 3.1302,                 2.6827,             0.00072164,             0.00072164,             0.00072164
                    103,                 2.5516,                 2.9921,                 2.8091,                0.50395,                0.31429,                0.26472,                0.09547,                 2.1974,                 3.3544,                 2.5528,             0.00071457,             0.00071457,             0.00071457
                    104,                 2.3335,                 3.2228,                 2.9423,                0.84594,                0.16667,                 0.2839,                0.09266,                 2.1686,                 3.6316,                 2.5714,              0.0007075,              0.0007075,              0.0007075
                    105,                  2.648,                  3.142,                 2.8758,                0.85176,                0.16667,                0.25469,                0.08321,                 2.2082,                   3.73,                 2.5881,             0.00070042,             0.00070042,             0.00070042
                    106,                 1.8836,                 3.3182,                 1.9909,                0.83628,                   0.15,                0.19492,                0.06399,                 2.2373,                 3.6144,                 2.6063,             0.00069335,             0.00069335,             0.00069335
                    107,                 2.4447,                 3.0237,                 2.8364,                0.81578,                0.16667,                0.20823,                0.08432,                 2.1971,                 3.3589,                 2.5982,             0.00068628,             0.00068628,             0.00068628
                    108,                 1.7775,                 3.0534,                 2.0217,                0.82518,                0.16667,                0.25196,                0.08724,                 2.2197,                 3.1072,                 2.6032,              0.0006792,              0.0006792,              0.0006792
                    109,                 2.7107,                 3.0842,                 2.7413,                0.54942,                0.36905,                0.23291,                0.09332,                 2.2745,                  3.045,                 2.6426,             0.00067213,             0.00067213,             0.00067213
                    110,                 2.4124,                  3.053,                 2.6286,                0.46792,                0.34049,                0.22687,                0.09561,                 2.2637,                 3.0155,                 2.6187,             0.00066506,             0.00066506,             0.00066506
                    111,                 2.3996,                 2.9903,                 2.7421,                0.46627,                0.44286,                0.24355,                0.11129,                 2.2912,                 3.1385,                 2.6418,             0.00065798,             0.00065798,             0.00065798
                    112,                  2.136,                 3.4318,                 2.7101,                0.47196,                0.42619,                0.26126,                0.11062,                 2.4023,                 3.5112,                 2.7078,             0.00065091,             0.00065091,             0.00065091
                    113,                 2.2867,                 2.9324,                 2.6777,                0.49901,                0.40238,                0.27729,                0.11252,                 2.4482,                 3.7505,                 2.7426,             0.00064384,             0.00064384,             0.00064384
                    114,                 2.4739,                 3.0594,                 2.8577,                0.52175,                0.37857,                0.28111,                0.10868,                  2.334,                 3.6521,                 2.6603,             0.00063676,             0.00063676,             0.00063676
                    115,                 1.7918,                 3.2288,                 2.0081,                0.82735,                0.23269,                 0.2698,                0.11287,                 2.1204,                 3.5005,                 2.5446,             0.00062969,             0.00062969,             0.00062969
                    116,                 2.4729,                 2.7541,                 2.5343,                0.82632,                0.23333,                0.27547,                0.11289,                 2.0377,                 3.2814,                 2.5089,             0.00062262,             0.00062262,             0.00062262
                    117,                 2.5912,                 3.0096,                 2.7267,                0.83172,                0.23333,                0.27863,                0.11293,                 2.0879,                 3.0617,                 2.5408,             0.00061554,             0.00061554,             0.00061554
